title,available,promotion,terms_and_conditions,link
Complimentary Chicken Pops with spending of RM25 and above at Nene Chicken,1 February 2023 – 31 January 2024,Get complimentary Chicken Pops worth RM11.50 with minimum purchase of RM25 at Nene Chicken,"1. Payment must be made with a Maybank Mastercard® or Visa Card.2. Promotion is valid from 1 February 2023 until 31 January 2024.3. Offer cannot be exchanged for cash or used in conjunction with other promotions/offers, coupons/vouchers and loyalty/privilege cards.4. Valid for all Nene Chicken outlets.5. Valid for dine-in and takeaway.6. Subject to terms & conditions imposed by Nene Chicken.",https://mytreats.maybank.com/cardpromotions/malaysia/2023/06/24/complimentary-chicken-pops-with-spending-of-rm25-and-above-at-nene-chicken/
10% OFF total bill at myBurgerLab,1 January 2023 – 31 December 2023,10% OFF total bill at myBurgerLab,"1. Payment must be made with a Maybank Mastercard®, Visa or American Express® Card.2. Promotion is valid from 1 January 2023 until 31 December 2023.3. Offer does not stack with any other vouchers, promotions, or discounts.4. Offer is applicable for Walk-in Orders – Users are to request for the deal from the cashier when placing their order.5. Requests for the deal after payment has been made will not be entertained.6. Applicable for orders from all participating myBurgerLab outlets only.7. Availability of dine-in will be subjected to change depending on government announcements.8. Present Maybank Credit or Debit Card before ordering & making payment.9. Subject to terms & conditions imposed by myBurgerLab .10. Maybank makes no representation or warranty for product and services offered by myBurgerLab and shall not be liable or responsible for any changes, claims, loss or damages resulting from this offer. Pictures shown are for illustration purposes only.",https://mytreats.maybank.com/cardpromotions/malaysia/2023/06/24/10-off-total-bill-at-myburgerlab/
15% OFF Total Bill at Meat Cartel,1 January 2023 – 31 December 2023,15% OFF Total Bill at Meat Cartel,"1. Payment must be made with a Maybank Mastercard® or Visa Card.2. Promotion is valid from 1 January 2023 until 31 December 2023.3. Offer is valid in a single receipt.4. Offer is valid for dine-in and takeaway only.5. This offer is only applicable for weekdays only and not applicable on Public Holiday.6. The promotion is non-transferable and non-cumulative and cannot be used in conjunction with any other discounts, privileges or promotions (unless otherwise specified).7. The promotion cannot be exchanged for cash or other products.8. Subject to terms & conditions imposed by Meat Cartel.",https://mytreats.maybank.com/cardpromotions/malaysia/2023/06/24/15-off-total-bill-at-meat-cartel/
Buy 3 get 1 complimentary Asam Laksa Original at Jom Laksa,1 January 2023 – 31 December 2023,Buy 3 get 1 complimentary Asam Laksa Original at Jom Laksa,"1. Payment must be made with a Maybank Mastercard® or Visa Card.2. Promotion is valid from 1 January 2023 until 31 Decemebr 2023.3. The promotion is non-transferable and non-cumulative and cannot be used in conjunction with any other discounts, vouchers, privileges or promotions (unless otherwise specified).4. The promotion cannot be exchanged for cash or other products.5. Maybank is not an agent of the partner and makes no representation as to the quality of goods and/or services provided. Any dispute about the goods and/or service is to be resolved directly with the partner.6. Subject to terms & conditions imposed by Jom Laksa.7. Valid for dine in only.8. While stocks last.",https://mytreats.maybank.com/cardpromotions/malaysia/2023/06/24/buy-3-get-1-complimentary-asam-laksa-original-at-jom-laksa/
50% OFF second beverage at HWC Coffee,1 February 2023 – 31 December 2023,Enjoy 50% off second beverage with any handcrafted beverage purchase at HWC Coffee,"1. Payment must be made with a Maybank Mastercard®, Visa or American Express® Card.2. Promotion is valid from 1 February 2023 until 31 January 2024.3. Only Handcrafted Drinks are entitled to the 50% off, except bottle drinks.4. The discounted beverage has to be equally priced or less than the purchased drink.5. Only valid for walk-in purchase at all brand stores. Not valid for ordering through third parties including airasia food, GrabFood, Foodpanda, ShopeeFood and Subplace.6. Not valid with any other vouchers, promotions and discounts.7. Subject to terms & conditions imposed by HWC Coffee .",https://mytreats.maybank.com/cardpromotions/malaysia/2023/06/24/50-off-second-beverage-at-hwc-coffee/
Get 1 Complimentary handpacked pint with purchase of ice cream cake at Haagen – Dazs,1 January 2023 – 31 December 2023,Buy any Ice Cream Cake (minimum 1kg) and get 1 Complimentary Handpacked Pint,"1. Payment must be made with a Maybank Mastercard®, Visa or American Express® Card.2. Promotion is valid from 1 January 2023 until 31 December 2023.3. Offer cannot be exchanged for cash or used in conjunction with other promotions/offers, coupons/vouchers and loyalty/privilege cards.4. Available for dine-in or takeaway only. Not applicable for delivery.5. This offer is not exchangeable for cash.6. This offer is valid for limited redemptions only, first come-first serve basis.7. This offer is only limited to one (1) redemption per receipt. The splitting of receipt is strictly prohibited.8. Offer is subject to stock availability at the respective locations.9. Offer is subject to any applicable tax unless otherwise stated.10. This offer cannot be used in combination with any other offers..",https://mytreats.maybank.com/cardpromotions/malaysia/2023/06/24/get-1-complimentary-handpacked-pint-with-purchase-of-ice-cream-cake-at-haagen-dazs/
15% OFF at Frozen & Sugar by Frozen & Lalaport by Frozen,1 January 2023 – 31 December 2023,15% OFF on total bill with a minimum spending of RM100,"1. Payment must be made with a Maybank Mastercard® or Visa Card.2. Promotion is valid from 1 January 2023 until 31 December 2023.3. Offer cannot be exchanged for cash or used in conjunction with other promotions/offers, coupons/vouchers and loyalty/privilege cards.4. The promotion is applicable with a minimum spending of RM100 in a single receipt.5. Promotion is valid for eat-in or take-away only.6. Present the Maybank Credit or Debit Card before ordering & making payment.",https://mytreats.maybank.com/cardpromotions/malaysia/2023/06/24/15-off-at-frozen-sugar-by-frozen-lalaport-by-frozen/
Get complimentary Cendol at Farmers Street Food & Deserts,1 January 2023 – 31 December 2023,Get 1 Complimentary Cendol with order of any main meal at Farmers Street Foods & Desserts,"1. Payment must be made with a Maybank Mastercard® or Visa Card.2. Promotion is valid from 1 January 2023 until 31 Decemebr 2023.3. Offer cannot be exchanged for cash or used in conjunction with other promotions/offers, coupons/vouchers and loyalty/privilege cards.4. Maybank is not an agent of the partner and makes no representation as to the quality of goods and/or services provided. Any dispute about the goods and/or service is to be resolved directly with the partner.5. Subject to terms & conditions imposed by Farmers Street Food & Deserts.6. Valid for dine-in only.7. Valid with any order of main meal at Farmers Street Food & Dessert in a single receipt.",https://mytreats.maybank.com/cardpromotions/malaysia/2023/06/24/get-complimentary-cendol-at-farmers-street-food-deserts/
20% OFF at Chatime Malaysia,1 January 2023 – 31 December 2023,20% OFF total bills at Chatime Malaysia,"1. Payment must be made with a Maybank Mastercard® or Visa Card.2. Promotion is valid from 1 January 2023 until 31 December 2023.3. Offer cannot be exchanged for cash or used in conjunction with other promotions/offers, coupons/vouchers and loyalty/privilege cards.4. Offer valid for dine-in and take-away.5. Applicable to all Chatime participating outlets.6. This offer may be subject to applicable tax, If any.7.Subject to terms & conditions imposed by Chatime.",https://mytreats.maybank.com/cardpromotions/malaysia/2023/06/24/20-off-at-chatime-malaysia/
15% OFF at The Den @ Capri by Fraser,1 January 2023 – 31 December 2023,15% OFF F&B except for alcoholic beverages at The Den @ Capri by Fraser,"1. Payment must be made with a Maybank Mastercard® or Visa Card.2. Promotion is valid from 1 January 2023 until 31 Decemebr 2023.3. The promotion is valid for dine-in only.4. The promotion is not valid for alcoholic beverages.5. The promotion is non-transferable and non-cumulative and cannot be used in conjunction with any ad-hoc packages/promotions for rooms, any other discounts, privileges or promotions (unless otherwise specified).6. The promotion cannot be exchanged for cash or other products.7. Maybank is not the agent of the partner and makes no representation as to the quality of goods and/or services provided. Any dispute about the goods and/or service is to be resolved directly with the partner.8.Subject to terms & conditions imposed by The Den @ Capri by Fraser.",https://mytreats.maybank.com/cardpromotions/malaysia/2023/06/24/15-off-at-the-den-capri-by-fraser/
15% OFF at Ayam Penyet Ria,1 January 2023 – 31 December 2023,15% OFF with a minimum spend of RM30 at Ayam Penyet Ria,"1. Payment must be made with a Maybank Mastercard® or Visa Card.2. Promotion is valid from 1 January 2023 until 31 December 2023.3. Not applicable with ongoing in-store promotion.4. Applicable for dine-in and takeaway only.5. Minimum spending of RM30 is required to redeem the offer.6. The promotion is non-transferable and non-cumulative and cannot be used in conjunction with any other discounts,privileges or promotions (unless otherwise specified).7. Maybank is not an agent of the partner and makes no representation as to the quality of goods and/or services provided. Any dispute about the goods and/or service is to be resolved directly with the partner.8.Subject to terms & conditions imposed by Ayam Penyet Ria.",https://mytreats.maybank.com/cardpromotions/malaysia/2023/06/24/15-off-at-ayam-penyet-ria/
Up to RM100 cash voucher at Grand Imperial,1 May 2023 – 31 July 2023,"Complimentary RM100 cash voucher* with a minimum spend of RM988, voucher is valid with a minimum spend of RM200 on next visit only.","• Payment must be made with a Maybank Mastercard®, Visa or American Express® Card.• Voucher redemption is applicable for dine-in only with the respective minimum spend for next visit till 31 August 2023.• Offers are not valid at Grand Imperial Seafood Hotpot & BBQ Pavilion Elite and Setia City Mall Branch.• Offers cannot be exchanged for cash or used in conjunction with other promotions/offers, coupons/vouchers and loyalty/privilege cards.• Maybank is not the supplier of the goods or service(s) and makes no representation as to the quality of the goods or service(s) provided by respective merchant.• Other terms and conditions apply.",https://mytreats.maybank.com/cardpromotions/malaysia/2023/05/12/up-to-rm100-cash-voucher-at-grand-imperial/
10% OFF at Marrybrown,1 March 2023 – 29 February 2024,10% OFF Total Bill with minimum spend of RM30 at Marrybrown,"• Payment must be made with a Maybank Islamic Mastercard® or Visa Card.• Offers cannot be exchanged for cash or used in conjunction with other discount, promotions, vouchers or loyalty/ privilege cards.• Offer is valid for dine-in and takeaway.• Pictures shown are for illustrative purpose only.• Maybank is not the supplier of the goods or services and makes no representation as to the quality of the goods or services provided by the participating merchant.• Other terms and conditions apply.",https://mytreats.maybank.com/cardpromotions/malaysia/2023/05/12/10-off-at-marrybrown/
Complimentary refreshments at Pavilion KL for The Platinum Card® and Maybank Visa Infinite Diamante Card,1 February 2023 – 31 December 2023,"Enjoy complimentary refreshments consisting of 1 drink and 1 slice of cake at Artelier Coffee, Couture Pavilion (Level 2), Pavilion KL, exclusively for The Platinum Card® and Maybank Visa Infinite Diamante Card","• Present The Platinum Card® or Maybank Visa Infinite Diamante at Fashion Avenue Concierge, Level 2 to redeem the complimentary drink & cake voucher.• Voucher is valid for dine-in only at Artelier Coffee, Lot P2.75.00 & 2.75.01, Couture Pavilion.• Voucher is eligible for 1 selected drink (choice of hot coffees, teas, fresh juices, Coke, Coke Light or Evian) and 1 slice of cake available on the day of redemption.• Original voucher must be presented upon redemption. Voucher is not exchangeable for cash or in kind. Voucher is accepted for one-time use only and subject to daily availability.• Validity of the voucher is stated in the voucher & no voucher reissuance and no extension after the expiry date.• Offer is valid from now till 31 December 2023.• Limited to the first 20 Cardmembers daily and one redemption per Cardmember, per day",https://mytreats.maybank.com/cardpromotions/malaysia/2023/04/19/complimentary-refreshments-at-pavilion-kl-for-the-platinum-card-and-maybank-visa-infinite-diamante-card/
10% OFF at Caveman Coffee,1 October 2022 – 1 October 2023,10% OFF Handcrafted Drinks at Caveman Coffee,"• Payment must be made with a Maybank/Maybank Islamic Mastercard®, Visa or American Express® Card.• Offer is valid for dine-in and takeaway at all Caveman Coffee outlets.• Offer is not valid on weekends and public holidays. All prices are subject to service charge and prevailing government taxes.• Offer cannot be exchanged for cash or used in conjunction with other promotions/offers, coupons/vouchers and loyalty/privilege cards.• Other terms and conditions apply",https://mytreats.maybank.com/cardpromotions/malaysia/2023/03/20/10-off-at-caveman-coffee/
20% OFF at Chill Out Sky Bar in Amerin Hotel,1 January 2023 – 31 December 2023,"20% OFF all F&B items at Chill Out Sky Bar, Amerin Hotel, JB","• Payment must be made with a Maybank/Maybank Islamic Mastercard®, Visa or American Express® Card.• Offer cannot be exchanged for cash or used in conjunction/combination with other discounts, promotions, vouchers or loyalty/privilege cards.• Other terms and conditions apply",https://mytreats.maybank.com/cardpromotions/malaysia/2023/03/20/20-off-at-chill-out-sky-bar-in-amerin-hotel/
Up to 15% for Ala-Carte F&B at Promenade Café,1 January 2023 – 31 December 2023,"Up to 15% OFF Ala-Carte F&B bill
(excluding tax, alcoholic, beverage and promotional items)","● Payment must be made with a Maybank Mastercard, Visa or American Express Card.● Offer cannot be exchanged for cash or used in conjunction with other promotions/offers, coupons/vouchers or loyalty/ privilege cards.Other terms and conditions apply.",https://mytreats.maybank.com/cardpromotions/malaysia/2023/03/20/up-to-15-for-ala-carte-fb-at-promenade-cafe/
15% OFF dining at Matahari Pool Terrace in Miri Marriott Resort & Spa,1 January 2023 – 31 December 2023,15% OFF Food & Beverages except alcoholic bevereges at Matahari Pool Terrace in Miri Marriott Resort & Spa,"● Payment must be made with a Maybank Mastercard, Visa or American Express Card.● Offer is not applicable for tobacco and alcoholic beverage.● Offer cannot be exchanged for cash or used in conjunction with other promotions/offers, coupons/vouchers or loyalty/ privilege cards.● Other terms and conditions apply.",https://mytreats.maybank.com/cardpromotions/malaysia/2023/03/20/15-off-dining-at-matahari-pool-terrace-in-miri-marriott-resort-spa/
15% OFF dining at Borneo Baking Company in Miri Marriott Resort & Spa,1 January 2023 – 31 December 2023,15% OFF Food & Beverages at Borneo Baking Company in Miri Marriott Resort & Spa,"● Payment must be made with a Maybank Mastercard, Visa or American Express Card.● Offer is not applicable for tobacco and alcoholic beverage.● Offer cannot be exchanged for cash or used in conjunction with other promotions/offers, coupons/vouchers or loyalty/ privilege cards.● Other terms and conditions apply.",https://mytreats.maybank.com/cardpromotions/malaysia/2023/03/20/15-off-dining-at-borneo-baking-company-in-miri-marriott-resort-spa/
15% OFF dining at Zest Restaurant in Miri Marriott Resort & Spa,1 January 2023 – 31 December 2023,15% OFF Food & Beverages at Zest Restaurant in Miri Marriott Resort & Spa,"● Payment must be made with a Maybank Mastercard, Visa or American Express Card.● Offer is not applicable for tobacco and alcoholic beverage.● Offer cannot be exchanged for cash or used in conjunction with other promotions/offers, coupons/vouchers or loyalty/ privilege cards.● Other terms and conditions apply.",https://mytreats.maybank.com/cardpromotions/malaysia/2023/03/20/15-off-dining-at-zest-restaurant-in-miri-marriott-resort-spa/
Up To 20% OFF dining at JIN Gastrobar in Aurum Theatre,1 July 2023 – 30 June 2024,"20% OFF dining at JIN Gastrobar in Aurum Theatre, The Gardens Mall and The Mall, Mid Valley Southkey","1) Promotion is valid from 1 July 2023 until 30 June 2024.2) Payment must be made with a Maybank Mastercard®, Visa or American Express® Credit or Charge Card (‘Maybank Card’) issued in Malaysia, Singapore, Indonesia, Philippines and Brunei. 3) Discount is valid for dine-in at JIN Gastrobar in Aurum Theatre, The Gardens Mall and Aurum Theatre, The Mall, Mid Valley Southkey only.4) A minimum spending of RM100 (before tax) in a single receipt is required to avail the discount. No split payment is allowed.5) Discount is applicable to all food and drink items at JIN Gastrobar in Aurum Theatre, The Gardens Mall and Aurum Theatre, The Mall, Mid Valley Southkey only.6) Discount value is capped at RM200 per transaction.7) Discount is not applicable to service charge and prevailing government taxes.8) Discount is not valid for events or hall bookings.9) Discount cannot be exchanged for cash or used in conjunction with other promotions/offers, coupons/vouchers and loyalty/privilege cards.10) Maybank is not the supplier of the goods or service(s) provided by Aurum Theatre and makes no representation of to the quality of the goods or service(s) provided by Aurum Theatre.11) Subject to terms & conditions imposed by Aurum Theatre.",https://mytreats.maybank.com/cardpromotions/malaysia/2023/02/09/up-to-20-off-dining-at-jin-gastrobar-in-aurum-theatre/
15% OFF exclusive dining experiences at Sunway Resort & Sunway Lagoon hotels,1 January 2023 – 31 December 2023,"For inquiries, email srhs.reservations@sunwayhotels.com or call 03-7492 8000","• Applicable to The Platinum Card®, American Express® Platinum Credit Card, American Express® Gold Card, American Express® Green Card, Singapore Airlines KrisFlyer American Express® Platinum Credit Card, Singapore Airlines KrisFlyer American Express® Gold Credit Card, Maybank 2 Cards Reserve American Express® Card, all Maybank/Maybank Islamic Visa Infinite Cards, all Maybank/Maybank Islamic World Mastercard® and Visa Signature Cards.• Offer is not applicable for alcoholic beverage.• Offer is valid for Chinese New Year, Valentine’s Day, Ramadan, Hari Raya Aidil Fitri, Christmas Buffets and Brunch.• Offer is not valid on New Year’s Eve.• Group size is limited to 10 diners.• Offers cannot be exchanged for cash or used in conjunction with other promotions/offers, coupons/vouchers and loyalty/privilege cards.• Other terms and conditions apply.",https://mytreats.maybank.com/cardpromotions/malaysia/2023/02/02/15-off-exclusive-dining-experiences-at-sunway-resort-sunway-lagoon-hotels/
"Enjoy exclusive savings at Simply Ribs, only for Maybank Cardmembers",1 August 2022 – 31 July 2023,10% OFF Total Bill,"• Payment must be made with Maybank/Maybank Islamic Mastercard, Visa or American Express Cards only.• Offer cannot be exchanged for cash or used in conjunction with other promotions/offers, coupons/vouchers and loyalty/privilege cards.• Offer is valid at Simply Ribs outlets in Malaysia.• Valid for dine-in only.• Splitting of bill is not allowed.• Maybank is not the supplier of the goods or service(s) and makes no representation as to the quality of the goods or service(s) provided by Simply Ribs.• Subject to other terms and conditions imposed by Simply Ribs.",https://mytreats.maybank.com/cardpromotions/malaysia/2022/09/13/enjoy-exclusive-savings-at-simply-ribs-only-for-maybank-cardmembers/
Tasty deals at Timothy Café,1 August 2022 – 31 July 2023,20% OFF Total Bill with minimum spend of RM100,"• Payment must be made with Maybank/Maybank Islamic Mastercard, Visa or American Express Cards.• Offer cannot be exchanged for cash or used in conjunction with other promotions/offers, coupons/vouchers and loyalty/privilege cards.• Offer is valid at Timothy Cafe outlet only.• Valid for dine-in and take away.• Maybank is not the supplier of the goods or service(s) and makes no representation as to the quality of the goods or service(s) provided by Timothy Café.• Subject to other terms and conditions imposed by Timothy Café.",https://mytreats.maybank.com/cardpromotions/malaysia/2022/08/28/tasty-deals-at-timothy-cafe/
Enjoy exclusive savings at Mingle Café,1 August 2022 – 31 July 2023,20% OFF normal priced beverages with minimum spend of RM50 on any items.,"• Payment must be made with Maybank/Maybank Islamic Mastercard, Visa or American Express Cards.• Offer cannot be exchanged for cash or used in conjunction with other promotions/offers, coupons/vouchers and loyalty/privilege cards.• Discount is valid on normal priced beverages at Mingle Café outlet only.• Minimum spend RM50 can be on any item.• Valid for dine-in and take away.• Maybank is not the supplier of the goods or service(s) and makes no representation as to the quality of the goods or service(s) provided by Mingle Café.• Subject to other terms and conditions imposed by Mingle Café.",https://mytreats.maybank.com/cardpromotions/malaysia/2022/08/28/enjoy-exclusive-savings-at-mingle-cafe/
"Enjoy exclusive savings at Kitchen Art Brasserie, Empire Hotel Subang",1 August 2022 – 31 July 2023,15% OFF buffet dinner,"• Payment must be made with Maybank/Maybank Islamic Mastercard, Visa or American Express Cards.• Offer cannot be exchanged for cash or used in conjunction with other promotions/offers, coupons/vouchers and loyalty/privilege cards.• Offer is valid at Kitchen Art Brasserie in Empire Hotel Subang only.• Prior reservation of at least 1 (one) day is required and subject to availability. Check buffet availability for the preferred date or make reservation via call 03 – 5565 1228 to the restaurant.• Offer is valid for dine-in only.• No splitting of bills allowed within the same table. One card per transaction.• Not valid for group bookings of more than 10 persons.• Not valid for tobacco and alcohol purchases.• Maybank is not the supplier of the goods or service(s) and makes no representation as to the quality of the goods or service(s) provided by Kitchen Art Brasserie, Empire Hotel Subang.• Subject to other terms and conditions imposed by Kitchen Art Brasserie, Empire Hotel Subang.",https://mytreats.maybank.com/cardpromotions/malaysia/2022/08/28/enjoy-exclusive-savings-at-kitchen-art-brasserie-empire-hotel-subang/
Tasty deals at Helado Desserts & Café,1 August 2022 – 31 July 2023,20% OFF normal priced beverages with minimum spend of RM50 on any items.,"• Payment must be made with Maybank/Maybank Islamic Mastercard, Visa or American Express Cards.• Offer cannot be exchanged for cash or used in conjunction with other promotions/offers, coupons/vouchers and loyalty/privilege cards.• Discount is valid on normal priced beverages at Helado Desserts & Cafe outlet only.• Minimum spend RM50 can be on any item.• Valid for dine-in and take away.• Maybank is not the supplier of the goods or service(s) and makes no representation as to the quality of the goods or service(s) provided by Helado Desserts & Café.• Subject to other terms and conditions imposed by Helado Desserts & Café.",https://mytreats.maybank.com/cardpromotions/malaysia/2022/08/28/tasty-deals-at-helado-desserts-cafe/
Maybank American Express Cards promotion at Putien,1 August 2022 – 31 July 2023,Get 10% OFF à la carte menu with no minimum spend with Maybank American Express Cards,"• Payment must be made with a Maybank/ Maybank Islamic American Express® Card.• Offer is valid for dine-in only.• Offer cannot be exchanged for cash or used in conjunction with other promotions/offers, coupons/vouchers and loyalty/ privilege cards.• No capping on discount and offer is not applicable for beverages, set menus and promotional items.• Other terms and conditions apply.",https://mytreats.maybank.com/cardpromotions/malaysia/2022/08/09/maybank-american-express-cards-promotion-at-putien/
